gene	zscore	p_value_neg
ACVR1	2.358162448	0.014617215
WDR55	2.323565299	0.382053865
XAB2	2.26997134	0.437784162
AP2S1	2.26789555	0.006898563
ECD	2.173216544	0.361421774
AP2M1	2.088667781	0.001985147
CHURC1-FNTB	2.07105612	0.3761623
UXT	2.065427482	0.053872386
GSK3B	2.038299967	0.005939057
TBX20	2.021011616	0.006550603
CENPA	1.938363901	0.37045734
SDHA	1.914832731	0.028753861
COA6	1.877448132	0.415918735
CGB1	1.850014346	0.425471975
RFC3	1.849286051	0.551696422
ACVR1B	1.845632314	0.024220731
HMGCS1	1.82683377	0.018393974
TSPY3	1.746305485	0.13962152
TP53	1.746214234	0.007439843
SPDYE6	1.732290837	0.162627541
CARM1	1.731231853	0.001071498
POLR3C	1.718757473	0.426856781
RHOQ	1.717023584	0.143815985
NF2	1.709202017	0.010208212
ARID1A	1.705050037	0.045990533
LCAT	1.688185081	0.297429808
MARS	1.682116176	0.23482516
GPAA1	1.568081175	0.054402623
RUVBL2	1.541331712	0.223345128
KIF11	1.512716301	0.790429801
FCF1	1.509164621	0.646953659
EOMES	1.488459991	0.112000963
VPS37D	1.486018108	0.478556683
SUFU	1.483782322	0.022487357
GPR161	1.468837239	0.117595795
BOLA3	1.43375555	0.09676486
BMPR1A	1.420439332	0.046942806
EIF2B5	1.418832952	0.463796757
ETF1	1.379050818	0.198594616
DYNLL1	1.378069721	0.347794864
RPA2	1.373460104	0.201239062
ZNF574	1.363528922	0.489943182
MIXL1	1.362960975	0.040725488
CABP1	1.361063302	0.232673406
KDM1A	1.359631158	0.153125499
POLR3A	1.350976562	0.309919649
SMG7	1.346622146	0.360621746
PTPN11	1.345631868	0.315596592
MLXIP	1.341983553	0.109329688
PRKAR1A	1.341238659	0.079798522
BAX	1.33427046	0.020166738
METTL3	1.323058744	0.046805538
POLD2	1.31955647	0.393549166
MMGT1	1.304699696	0.006743032
PKM	1.301238453	0.44738908
HIRA	1.295714963	0.135883012
CREB1	1.291349787	0.80262926
KANSL3	1.277973582	0.431778019
MFAP1	1.269672233	0.469183602
NCAPG2	1.268024733	0.339938904
BMPR2	1.267883264	0.024617585
EMC7	1.266995112	0.026858445
RNF113A	1.255645566	0.120374148
PHB	1.254759511	0.340734313
UQCRB	1.254683002	0.446695632
MIB1	1.254128644	0.011906867
COASY	1.243688568	0.171498809
GNB2L1	1.221178209	0.578626513
DDX46	1.215368243	0.068471631
RNF126	1.209016197	0.115754439
ZNF511	1.204760098	0.158568609
SPPL3	1.201476836	0.00595454
FLCN	1.197792739	0.039551958
H3F3A	1.17447421	0.093267756
FEN1	1.172788937	0.262049303
BIRC5	1.171890612	0.378565888
SMARCA4	1.168731029	0.14577272
EIF2B1	1.167210666	0.032611517
EAF1	1.16672814	0.264003328
USP34	1.16016055	0.000572996
FPGS	1.158906979	0.670938882
KIRREL	1.158728542	0.017764051
BAMBI	1.151586303	0.098313228
WASH1	1.150220342	0.470850781
CDK13	1.148856006	0.043535614
PTEN	1.148741764	0.121990743
NUP43	1.148637411	0.426440284
TAX1BP3	1.146008388	0.047876799
TOMM22	1.143981246	0.430848873
GPN2	1.141539248	0.272732191
MCM3	1.139854561	0.615134666
SRSF7	1.139435908	0.666899679
POLG2	1.137759013	0.420539029
CHAF1B	1.13451162	0.219151149
METTL12	1.133894824	0.104014088
PSMD11	1.1288855	0.231378104
GSPT1	1.128274012	0.442456307
PPP1R27	1.126629083	0.215293428
EXOSC8	1.121315398	0.627192735
POGLUT1	1.117896629	0.010153775
DCAF13	1.117024199	0.538413396
CDH1	1.111485488	0.302010568
C11orf57	1.107909272	0.814250093
FDX1L	1.099780534	0.464471692
BCOR	1.098758271	0.030380747
TFB2M	1.097573071	0.717357739
CPNE6	1.097455749	0.70684498
FBXO42	1.090061601	0.138302894
EIF3L	1.088076018	0.158425261
OSBP	1.083006078	0.129913416
VPS53	1.075903768	0.337737582
ISYNA1	1.072704959	0.430753546
NOC2L	1.072388338	0.110985615
FOXD3	1.071383299	0.107143391
SPG21	1.067841466	0.524912584
SRSF9	1.06181021	0.17663534
SPATA5L1	1.059749955	0.80767604
FAM71A	1.05968675	0.110803595
CDH12	1.059021534	0.150122585
EIF3M	1.058933484	0.029768532
NDUFAB1	1.058598729	0.559765133
ATF4	1.054967907	0.054347971
SMAD2	1.05410174	0.016588123
VPS18	1.052722771	0.4336191
PPP1R15B	1.051089704	0.137992616
KRTAP11-1	1.049895857	0.502184974
NDUFB4	1.045719604	0.410172758
DNAJC9	1.041642638	0.280035202
C4A	1.041183994	0.226032845
MRPL12	1.03951895	0.236479754
TRIM8	1.038742088	0.652663303
RSG1	1.038005083	0.270969046
MRPL16	1.036859131	0.474601821
A2ML1	1.028215362	0.250704667
SLC39A1	1.023198663	0.209330266
TACO1	1.022406606	0.060469061
CCDC6	1.022025822	0.03902831
JMJD1C	1.018198638	0.063662648
CDK10	1.017681933	0.275240983
NOL6	1.017503411	0.305821121
FIS1	1.016814549	0.177803113
AAGAB	1.01306639	0.234039913
NPIPA5	1.011996578	0.357104684
AURKA	1.009787227	0.199007583
PCGF2	1.008953136	0.073884646
CCNA2	1.005316247	0.5635332
SLC25A28	1.005001664	0.281775595
PPP1R11	1.004841945	0.459627867
RBM25	1.004304657	0.338118232
PSMD6	1.003179125	0.077150253
RPS20	0.998556414	0.687148649
RBM7	0.998372276	0.35099471
FMNL3	0.998303523	0.079786972
PSMF1	0.996834877	0.394304738
GLTSCR1	0.996026016	0.056403742
CAMKK2	0.994535313	0.169079476
KCTD13	0.99172248	0.346149858
EIF2AK4	0.990106699	0.077687933
CCDC101	0.990025624	0.215015199
ATP6V1D	0.983793867	0.535377246
PIGM	0.983549922	0.028891142
SBF1	0.982544205	0.218708722
HSD17B12	0.981387668	0.554304751
GNB5	0.981150414	0.092105389
UBE4B	0.972532854	0.089973678
TJP2	0.971672765	0.416326581
PIGL	0.97056128	0.139411038
MTX1	0.969786696	0.214127351
TAF1C	0.96956215	0.709947758
PCF11	0.969125127	0.030886684
GOLGA3	0.966852731	0.392638987
TSPY10	0.966848532	0.687938139
PIGW	0.964077598	0.225110833
FRAT1	0.963695219	0.234043821
PDS5A	0.960299188	0.11317452
SOD1	0.959990765	0.569827736
XPNPEP1	0.957604643	0.247834696
LOC388849	0.955175794	0.441504088
NCKIPSD	0.953302351	0.344593507
BCL2L11	0.952686707	0.023197994
C11orf31	0.951816669	0.27408774
CDH19	0.949651001	0.06830892
VARS	0.948988361	0.582542746
TSC2	0.948761339	0.080906166
TRAPPC4	0.948622387	0.317188449
PAFAH1B1	0.9475649	0.262608479
MLLT10	0.941586263	0.036815398
CTDNEP1	0.939581285	0.146985292
CGB5	0.93879044	0.12884324
GSKIP	0.93456449	0.115316302
GPBP1	0.933698207	0.195342177
BAG1	0.931992084	0.315672944
YWHAZ	0.931724344	0.198313093
NDUFB2	0.929843611	0.577355771
DNAJC8	0.928551278	0.371444683
LIMS3L	0.927795199	0.048565561
USP17L15	0.926903919	0.094992153
ACHE	0.926667264	0.175575875
ZIC2	0.924605964	0.044729208
TPI1	0.923136103	0.155476931
RFC1	0.920349409	0.585186416
TTI1	0.920119567	0.496535916
RHBDF2	0.918864118	0.189559893
SUPT5H	0.917317598	0.851255073
PWWP2B	0.915026476	0.152311225
TPH1	0.914647457	0.038250243
HSP90AB1	0.913760389	0.517599791
LARS	0.913496769	0.642661984
ZNF664-FAM101A	0.91343922	0.113934468
TRAF7	0.909312302	0.110582674
EMC3	0.90849892	0.164915676
EMC6	0.904799981	0.086232401
SMU1	0.903570623	0.444742222
PIGB	0.903327813	0.151046992
MYO9A	0.903082198	0.071224153
BRPF1	0.900141344	0.1442695
CCM2L	0.899817976	0.248678009
NLRP6	0.898162072	0.099436298
PDE6G	0.897090063	0.279267749
STT3B	0.89599653	0.589452616
PEMT	0.89555231	0.4128644
PIGT	0.893753099	0.094567162
PSMC4	0.893465742	0.581120472
CCDC115	0.889015758	0.327545975
CLPSL1	0.88400974	0.023672047
CAMK1D	0.880956823	0.408548175
DDX20	0.876863113	0.440182203
RNF2	0.876347545	0.110178375
CCDC183	0.876309739	0.333304175
ILF2	0.876215367	0.712137838
RPAIN	0.874093207	0.683547636
PMVK	0.873080958	0.101680614
TARDBP	0.870844644	0.242306987
CSTF3	0.869153283	0.179014889
C18orf25	0.868945139	0.08746053
FOXO1	0.86796276	0.094784098
DAD1	0.86624003	0.255941074
RBBP8	0.863892649	0.721306271
MATN4	0.863502219	0.026587066
GFPT1	0.862841594	0.187509167
OTOP2	0.862765341	0.116860608
UROS	0.860993879	0.490704354
PRDX2	0.860652365	0.296337167
KAT2A	0.859702204	0.085302033
DNAH17	0.859014972	0.083856392
URM1	0.857565911	0.463428298
MCMBP	0.85535912	0.31485973
MED21	0.854932722	0.343025464
UBA3	0.854648152	0.370791363
AGGF1	0.854555319	0.286310253
NAA38	0.853599126	0.136408015
CHST14	0.85339785	0.468478421
P2RX2	0.852972983	0.323322992
BMF	0.851763743	0.031389121
AKR7A2	0.851350132	0.164219624
GOLGA8J	0.851302789	0.638086907
POP7	0.851219967	0.537124262
SRSF11	0.850436477	0.232541627
POLD3	0.850182727	0.733441946
TSC1	0.849870026	0.066127424
ZNF787	0.847065464	0.003015573
GGA2	0.846986134	0.429183879
CRYBA2	0.846365308	0.172204184
MBD3L2	0.846237811	0.395889358
KLHL29	0.843024172	0.246695992
MRPL52	0.841877919	0.283039798
ZBTB45	0.840125009	0.229786063
SDHB	0.839303489	0.29766283
SMARCD1	0.839234971	0.080039964
LRRC25	0.838529437	0.066267204
ALDH18A1	0.838296842	0.269791927
PCDHB10	0.837865388	0.226584236
SMAD4	0.837425851	0.164212817
SMARCAL1	0.835231774	0.328477296
AP1G1	0.832870341	0.291444251
FANCI	0.832723081	0.508455404
ZIC3	0.83185232	0.018269009
PNISR	0.831218835	0.489693468
SMARCC2	0.830158549	0.021536946
PPFIA1	0.82916375	0.546766729
TPX2	0.829156946	0.764896226
AGO2	0.828570964	0.089187385
EP400	0.827896507	0.427206818
TMEM217	0.827461602	0.076156092
CHCHD4	0.826593851	0.460096765
RBM15	0.825991497	0.00111249
LIAS	0.825794487	0.317752184
MTRNR2L4	0.825791785	0.199940099
SMARCB1	0.824686295	0.261813612
CD207	0.822037733	0.042043612
VSX2	0.821862605	0.247978521
GSG2	0.82089872	0.653428991
DDX6	0.820368602	0.57091497
WDR83	0.819396715	0.329374801
NPIPA7	0.816795377	0.114181421
PHYKPL	0.816786584	0.074738286
ZZZ3	0.81582276	0.154917634
SLAIN1	0.814746422	0.043007621
OS9	0.814585372	0.383098724
SYT9	0.813507058	0.15048856
PNPT1	0.811479004	0.097836533
NCL	0.809272148	0.534014404
MAP2K7	0.808294527	0.036429934
C7orf26	0.80813168	0.375808774
ADD2	0.808125195	0.268668718
RBM42	0.80780301	0.238820512
HIST1H1B	0.807398252	0.115774546
COG7	0.806857889	0.107282726
GATA4	0.806367771	0.075751949
SLAMF6	0.805867469	0.302386359
DCTN6	0.805655532	0.747478622
MGEA5	0.805078705	0.543361711
CSNK1D	0.804874768	0.171488464
DICER1	0.804746724	0.30097249
TGFBR2	0.803977977	0.266494934
BTBD16	0.803546292	0.142195556
DYNC1I2	0.801902281	0.178136741
NOC4L	0.800702943	0.616662722
ANKS3	0.799972267	0.218511983
PSMB5	0.799929916	0.123488128
IL13RA2	0.799038858	0.301599858
COQ10A	0.798513729	0.394884489
PMAIP1	0.797866112	0.021205638
ACSS1	0.79705617	0.020121063
VCP	0.796548352	0.083237731
VPS26B	0.795164316	0.255193123
RPS3	0.794586809	0.293520984
CDK4	0.793878537	0.28976743
ERLIN2	0.793120497	0.232807762
MBLAC1	0.792904298	0.161526016
ZNRD1	0.792698805	0.246749103
PRRT3	0.791874566	0.085933048
EPB41L2	0.790864057	0.223514244
PPP2R1A	0.790579801	0.356153904
KLHL41	0.790175802	0.033745406
