	DIS
A1BG-AS1	0.002281189
A1CF	0.000437739
A2M	0.000873123
A2M-AS1	0.000131638
A2ML1	0
A2MP1	8.02E-05
A3GALT2	0
A4GALT	0.005407619
A4GNT	2.09E-05
AAAS	0.000377508
AACS	0.000591614
AACSP1	9.20E-05
AADAC	0
AADACL3	0
AADACL4	3.87E-05
AADACP1	0
AADAT	0.000629171
AAED1	0.000366288
AAGAB	0.000572137
AAK1	0.00033996
AAMDC	0.000236695
AAMP	0.000226018
AANAT	4.02E-05
AAR2	0.000292633
AARD	0.002380181
AARS	0.000372026
AARS2	0.005269618
AARSD1	1.33E-05
AASDH	0.000156653
AASDHPPT	0.000180844
AASS	0.000792468
AATBC	6.23E-05
AATF	0.000512249
AATK	0.015936499
AATK-AS1	0.002365238
ABALON	2.91E-05
ABAT	0.002713698
ABCA1	0.00067348
ABCA10	0
ABCA11P	2.24E-05
ABCA12	1.11E-05
ABCA13	0.000154392
ABCA17P	0.005242884
ABCA2	0.00150188
ABCA3	0.00465309
ABCA4	0.005377517
ABCA5	0.000193868
ABCA6	4.99E-06
ABCA7	0.000297073
ABCA8	0.000429561
ABCA9	0
ABCA9-AS1	1.32E-05
ABCB1	0.000634812
ABCB10	0.000282181
ABCB11	0.000169969
ABCB4	0.000671233
ABCB5	0
ABCB6	1.35E-05
ABCB7	0.001584724
ABCB8	0.000738901
ABCB9	0.000173466
ABCC1	0.000349788
ABCC10	0.000163032
ABCC11	0.000176555
ABCC12	0.000172845
ABCC13	1.11E-05
ABCC2	4.00E-05
ABCC3	0.003130486
ABCC4	0.000441744
ABCC5	0.000813097
ABCC5-AS1	2.48E-05
ABCC6	0.00036622
ABCC6P1	5.02E-05
ABCC6P2	1.77E-05
ABCC8	0.008512885
ABCC9	0.000559274
ABCD1	0.001229604
ABCD2	3.92E-05
ABCD3	0.0014852
ABCD4	0.000313041
ABCE1	0.000175573
ABCF1	0.000270739
ABCF2	0.001022097
ABCF3	0.000167458
ABCG1	0.015741901
ABCG2	0.000207535
ABCG4	0.001199361
ABCG5	0.000123282
ABCG8	0
ABHD1	7.06E-05
ABHD10	0.000213746
ABHD11	0.000324337
ABHD11-AS1	5.33E-05
ABHD12	0.00045561
ABHD12B	0.000512798
ABHD13	0.00010163
ABHD14A	0.000265015
ABHD14B	0.000267486
ABHD15	0.000278447
ABHD16A	6.73E-05
ABHD17A	0.000263412
ABHD17B	0.000314214
ABHD17C	0.000231717
ABHD18	0.000278132
ABHD2	0.00031073
ABHD3	0.000491412
ABHD4	0.000729846
ABHD5	0.000191578
ABHD6	0.003038493
ABHD8	0.000182501
ABI1	0.000799234
ABI2	0.000203318
ABI3	0.000734968
ABI3BP	0.000442424
ABL1	0.001359182
ABL2	0.000166524
ABLIM1	0.016377508
ABLIM2	0.028744752
ABLIM3	0.005927772
ABO	0
ABR	0.077171082
ABRA	0.000441376
ABRACL	0.00062006
ABT1	0.014955212
ABTB1	0.000162752
ABTB2	0.007815322
ACAA1	0.000236258
ACAA2	0.000314263
ACACA	0.000961096
ACACB	0.000738219
ACAD10	0.000254094
ACAD11	2.32E-05
ACAD8	0.000240105
ACAD9	0.000227177
ACADL	0.003300709
ACADM	0.000287129
ACADS	0.000374997
ACADSB	0.003285005
ACADVL	0.000423476
ACAN	0.02260393
ACAP1	0.000927227
ACAP2	0.000276154
ACAP3	0.000263489
ACAT1	0.000267264
ACAT2	0.00016497
ACBD3	0.000240913
ACBD4	0.000314663
ACBD5	0.000165745
ACBD6	0.00041679
ACBD7	0.000292961
ACCS	0.000425951
ACD	0.000182042
ACE	0.002480557
ACE2	0.009170213
ACER2	0.000249803
ACER3	0.000257079
ACHE	0.003377641
ACIN1	0.000219207
ACKR1	0
ACKR2	0.000147189
ACKR3	0.005673139
ACKR4	1.08E-06
ACLY	0.000327706
ACMSD	9.45E-05
ACO1	0.002680037
ACO2	0.000439483
ACOT1	0.000144462
ACOT11	0.001432788
ACOT12	0
ACOT13	0.000265726
ACOT2	0.000251606
ACOT4	0
ACOT7	0.001402095
ACOT8	0.000168616
ACOT9	0.000580788
ACOX1	0.000229176
ACOX2	0.000381557
ACOX3	0.000993451
ACOXL	0.130926061
ACP1	0.000435008
ACP2	0.000160765
ACP5	8.20E-05
ACP6	0.000404772
ACP7	0
ACPP	0.001107378
ACPT	0.000253036
ACRBP	0.000183252
ACRV1	6.63E-06
ACSBG1	3.62E-05
ACSBG2	8.62E-05
ACSF2	0.002608473
ACSF3	0.004463419
ACSL1	0.017532416
ACSL3	0.000441245
ACSL4	0.003921923
ACSL5	0.000110417
ACSL6	0.000855055
ACSM1	0
ACSM2A	0
ACSM2B	2.01E-05
ACSM3	6.43E-05
ACSM4	0
ACSM5	3.19E-05
ACSM6	6.37E-05
ACSS1	0
ACSS2	0.000705231
ACSS3	0.000507853
ACTA1	0.049287251
ACTA2	0.001297574
ACTA2-AS1	5.10E-05
ACTB	0.000434168
ACTBL2	0
ACTC1	0.055332279
ACTG1	0.000616077
ACTG1P17	0
ACTG1P20	6.37E-05
ACTG2	0.000126525
ACTL10	4.40E-05
ACTL6A	0.000322466
ACTL6B	0
ACTL7B	0
ACTL8	0
ACTN1	0.000856594
ACTN1-AS1	0.000111736
ACTN2	0.018185095
ACTN3	0.003446485
ACTN4	0.001654096
ACTR10	0.000596142
ACTR1A	0.000356523
ACTR1B	0.00027755
ACTR2	0.00267098
ACTR3	0.000328693
ACTR3B	0.00040869
ACTR3C	0
ACTR5	0.060786057
ACTR6	0.000211502
ACTR8	0.000177169
ACTRT1	8.82E-06
ACTRT3	4.65E-05
ACVR1	0.000209227
ACVR1B	0.002348466
ACVR1C	5.46E-05
ACVR2A	0.000703611
ACVR2B	0.000546162
ACVR2B-AS1	0.000179155
ACVRL1	0.0021706
ACY1	1.36E-05
ACY3	7.80E-05
ACYP1	0.000240271
ACYP2	0.000588038
ADA	0.00065667
ADAD1	2.13E-05
ADAD2	4.21E-05
ADAL	0.000292369
ADAM10	0.000328849
ADAM11	0.039291997
ADAM12	0.00087999
ADAM15	0.000510627
ADAM17	0.000227486
ADAM18	9.63E-06
ADAM19	0.001838303
ADAM2	2.01E-05
ADAM20	2.43E-05
ADAM20P1	1.30E-05
ADAM21	1.80E-05
ADAM21P1	0
ADAM22	0.00036135
ADAM23	0.011396391
ADAM28	0.000546255
ADAM29	8.15E-06
ADAM32	0.000387929
ADAM33	0.006024837
ADAM3A	0
ADAM5	0
ADAM7	0
ADAM8	0.000709181
ADAM9	0.000473173
ADAMDEC1	0
ADAMTS1	0.004659941
ADAMTS10	0.000970131
ADAMTS12	0.016966003
ADAMTS13	0.001848899
ADAMTS14	0.002063469
ADAMTS15	0.00937916
ADAMTS16	0.000168777
ADAMTS17	0.002551613
ADAMTS18	0.019411704
ADAMTS19	0.005142871
ADAMTS19-AS1	0.002898087
ADAMTS2	0.016682008
ADAMTS20	0.000273404
ADAMTS3	0.001111677
ADAMTS4	6.38E-05
ADAMTS5	0.000180293
ADAMTS6	0.000643354
ADAMTS7	0.000838705
ADAMTS7P1	2.94E-08
ADAMTS8	0.009361031
ADAMTS9	0.024325317
ADAMTS9-AS1	0.000222942
ADAMTS9-AS2	0.00288884
ADAMTSL1	0.001653243
ADAMTSL2	0.077101538
ADAMTSL3	0.000655195
ADAMTSL4	0.001029791
ADAMTSL4-AS1	3.68E-05
ADAMTSL5	0.006082819
ADAP1	0.00134391
ADAP2	0.000670098
ADAR	0.000930324
ADARB1	0.001339342
ADARB2	0.033093636
ADARB2-AS1	0
ADAT1	0.000147585
ADAT2	8.56E-05
ADAT3	3.70E-05
ADCK1	0.000264569
ADCK2	0.000316545
ADCK5	0.000389522
ADCY1	0.041440318
ADCY10	0.0001285
ADCY10P1	0.000107778
ADCY2	0.012688652
ADCY3	0.000175881
ADCY4	0.003802982
ADCY5	0.132166033
ADCY6	0.001371383
ADCY7	0.000283478
ADCY8	0.030688028
ADCY9	0.00144101
ADCYAP1	0
ADCYAP1R1	0.01261386
ADD1	0.000422199
ADD2	0.115757451
ADD3	0.000558838
ADD3-AS1	8.74E-05
ADGB	4.71E-05
ADGRA1	0.005815202
ADGRA1-AS1	0
ADGRA2	0.021048333
ADGRA3	0.000764368
ADGRB1	0.008096687
ADGRB2	0.070943675
ADGRB3	0.000698113
ADGRD1	0.023521011
ADGRE1	0
ADGRE2	0.000102569
ADGRE3	0
ADGRE5	0.000116365
ADGRF1	0
ADGRF2	3.78E-05
ADGRF3	3.78E-05
ADGRF4	0.00011647
ADGRF5	8.34E-05
ADGRG1	0.001155929
ADGRG2	0.004181537
ADGRG3	0
ADGRG4	8.79E-05
ADGRG5	0.000253772
ADGRG6	0.000761301
ADGRG7	9.83E-05
ADGRL1	0.001439315
ADGRL2	0.00833372
ADGRL3	0.002567817
ADGRL4	0.000300867
ADGRV1	0.013141836
ADH1A	3.62E-05
ADH1B	2.34E-05
ADH4	9.01E-06
ADH5	0.000292674
ADH6	5.57E-06
ADH7	0
ADHFE1	0.000570729
ADI1	0.000343946
ADIG	0
ADIPOQ	0
ADIPOQ-AS1	0
ADIPOR1	0.000290098
ADIPOR2	0.00038756
ADK	0.000967748
ADM	0.002828979
ADM2	0.000136289
ADM5	1.01E-05
ADNP	0.000241085
ADNP2	0.000376995
ADO	0.000377888
ADORA1	0.139280738
ADORA2A	0.000962299
ADORA2A-AS1	0.000750173
ADORA2B	0.002601546
ADPGK	0.000296205
ADPGK-AS1	0.000159029
ADPRH	0.000206172
ADPRHL1	0.000467614
ADPRHL2	0.000215269
ADPRM	0.000110303
ADRA1A	0
ADRA1B	0.100037007
ADRA1D	0.006394517
ADRA2A	0.000581113
ADRA2B	0.042420062
ADRA2C	0.086241722
ADRB1	0.007561562
ADRB2	0.001285914
ADRB3	0.007226107
ADRM1	0.00019414
ADSL	0.000285718
ADSS	0.000293505
ADSSL1	0.00304018
ADTRP	6.89E-05
AEBP1	0.001310574
AEBP2	0.000195941
AEN	0.000339485
AES	0.000538206
AFAP1	0.004137811
AFAP1-AS1	0.000117719
AFAP1L1	0.02954438
AFAP1L2	0.022226795
