gene	DS	TRIAGE_RANK
1	A1BG-AS1	0.002281189	3195
2	A1CF	0.000437739	7399
3	A2M	0.000873123	5060
4	A2M-AS1	0.000131638	14027
5	A2ML1	0	17878
6	A2MP1	8.02e-05	15347
7	A3GALT2	0	17879
8	A4GALT	0.005407619	2081
9	A4GNT	2.09e-05	16980
10	AAAS	0.000377508	8142
11	AACS	0.000591614	6241
12	AACSP1	9.2e-05	15048
13	AADAC	0	17880
14	AADACL3	0	17881
15	AADACL4	3.87e-05	16398
16	AADACP1	0	17882
17	AADAT	0.000629171	6043
18	AAED1	0.000366288	8329
19	AAGAB	0.000572137	6348
20	AAK1	0.00033996	8772
21	AAMDC	0.000236695	11073
22	AAMP	0.000226018	11365
23	AANAT	4.02e-05	16347
24	AAR2	0.000292633	9728
25	AARD	0.002380181	3136
26	AARS	0.000372026	8228
27	AARS2	0.005269618	2112
28	AARSD1	1.33e-05	17278
29	AASDH	0.000156653	13306
30	AASDHPPT	0.000180844	12611
31	AASS	0.000792468	5339
32	AATBC	6.23e-05	15786
33	AATF	0.000512249	6750
34	AATK	0.015936499	1096
35	AATK-AS1	0.002365238	3144
36	ABALON	2.91e-05	16718
37	ABAT	0.002713698	2931
38	ABCA1	0.00067348	5812
39	ABCA10	0	17883
40	ABCA11P	2.24e-05	16928
41	ABCA12	1.11e-05	17370
42	ABCA13	0.000154392	13374
43	ABCA17P	0.005242884	2120
44	ABCA2	0.00150188	3906
45	ABCA3	0.00465309	2256
46	ABCA4	0.005377517	2085
47	ABCA5	0.000193868	12231
48	ABCA6	4.99e-06	17631
49	ABCA7	0.000297073	9630
50	ABCA8	0.000429561	7483
51	ABCA9	0	17884
52	ABCA9-AS1	1.32e-05	17283
53	ABCB1	0.000634812	6007
54	ABCB10	0.000282181	9940
55	ABCB11	0.000169969	12915
56	ABCB4	0.000671233	5824
57	ABCB5	0	17885
58	ABCB6	1.35e-05	17267
59	ABCB7	0.001584724	3794
60	ABCB8	0.000738901	5544
61	ABCB9	0.000173466	12817
62	ABCC1	0.000349788	8606
63	ABCC10	0.000163032	13117
64	ABCC11	0.000176555	12729
65	ABCC12	0.000172845	12829
66	ABCC13	1.11e-05	17371
67	ABCC2	4e-05	16351
68	ABCC3	0.003130486	2739
69	ABCC4	0.000441744	7348
70	ABCC5	0.000813097	5265
71	ABCC5-AS1	2.48e-05	16851
72	ABCC6	0.00036622	8333
73	ABCC6P1	5.02e-05	16067
74	ABCC6P2	1.77e-05	17117
75	ABCC8	0.008512885	1647
76	ABCC9	0.000559274	6424
77	ABCD1	0.001229604	4266
78	ABCD2	3.92e-05	16377
79	ABCD3	0.0014852	3925
80	ABCD4	0.000313041	9291
81	ABCE1	0.000175573	12757
82	ABCF1	0.000270739	10209
83	ABCF2	0.001022097	4677
84	ABCF3	0.000167458	12980
85	ABCG1	0.015741901	1105
86	ABCG2	0.000207535	11839
87	ABCG4	0.001199361	4320
88	ABCG5	0.000123282	14248
89	ABCG8	0	17886
90	ABHD1	7.06e-05	15565
91	ABHD10	0.000213746	11671
92	ABHD11	0.000324337	9062
93	ABHD11-AS1	5.33e-05	15987
94	ABHD12	0.00045561	7213
95	ABHD12B	0.000512798	6747
96	ABHD13	0.00010163	14810
97	ABHD14A	0.000265015	10358
98	ABHD14B	0.000267486	10300
99	ABHD15	0.000278447	10028
100	ABHD16A	6.73e-05	15657
101	ABHD17A	0.000263412	10399
102	ABHD17B	0.000314214	9260
103	ABHD17C	0.000231717	11214
104	ABHD18	0.000278132	10036
105	ABHD2	0.00031073	9331
106	ABHD3	0.000491412	6908
107	ABHD4	0.000729846	5580
108	ABHD5	0.000191578	12296
109	ABHD6	0.003038493	2782
110	ABHD8	0.000182501	12573
111	ABI1	0.000799234	5316
112	ABI2	0.000203318	11957
113	ABI3	0.000734968	5565
114	ABI3BP	0.000442424	7344
115	ABL1	0.001359182	4079
116	ABL2	0.000166524	13008
117	ABLIM1	0.016377508	1079
118	ABLIM2	0.028744752	698
119	ABLIM3	0.005927772	1991
120	ABO	0	17887
121	ABR	0.077171082	275
122	ABRA	0.000441376	7351
123	ABRACL	0.00062006	6086
124	ABT1	0.014955212	1139
