Gene	WT_ExpRank	KO1_ExpRank	KO2_ExpRank	WT2_D14_2	KO1_D14_2	KO2_D14_2
Mar-01	11804	9737	9828	2.37318645	4.167264375	3.85752721
Mar-01	15737	14509	15038	0.821389087	1.129270419	0.957382988
Sep-01	12153	13987	13745	2.15789578	1.28833432	1.348130806
Dec-01	25448	25376	27983	0.041700252	0.088915763	0
Mar-02	3113	3562	3847	20.23447972	18.27804571	15.28210163
Mar-02	2186	10304	8749	28.4302769	3.588931319	4.978892182
Sep-02	565	740	619	98.49990249	78.04447889	81.39629697
Mar-03	8927	13202	10930	4.938576671	1.596533529	2.884026072
Sep-03	10725	19007	19299	3.180170878	0.417289224	0.347340956
Mar-04	26078	23514	25084	0.021952935	0.149789939	0.031170336
Sep-04	16979	22210	16119	0.600596609	0.204900462	0.739067082
Mar-05	6178	7311	6623	9.231211713	7.373758777	7.950771664
Sep-05	1980	13306	11806	31.10842886	1.55113068	2.276451586
Mar-06	1609	1852	1603	37.6414789	34.22972497	34.73047661
Sep-06	2204	6246	4408	28.26369278	9.408491291	13.18757261
Mar-07	1053	2203	1886	55.48661299	29.25932734	30.36959931
Sep-07	859	981	915	67.24163935	61.39061628	59.46486396
Mar-08	8413	7324	6930	5.567613535	7.350286918	7.463774002
Sep-08	5690	1597	1484	10.3633805	39.00649066	37.40221237
Mar-09	8462	8426	8187	5.502416855	5.726617004	5.627020121
Sep-09	1421	964	1093	42.46791866	62.45160548	49.70451856
Mar-10	19098	17281	17024	0.350165072	0.597314271	0.587587276
Sep-10	1506	1707	1475	40.27136593	36.56769291	37.63863916
Mar-11	15434	28420	21136	0.894351196	0	0.224093529
Sep-11	6113	1246	1413	9.401145951	49.96943496	38.96995471
Sep-12	16213	20317	23765	0.728340181	0.310602069	0.086179092
Sep-14	26760	30203	30682	0	0	0
Sep-15	1487	1200	1301	40.81940299	51.39797202	42.32480151
7SK	879	8664	8181	65.81757567	5.410704878	5.629666707
A1BG	23294	26854	23019	0.112564211	0.048003224	0.119869995
A1BG-AS1	17020	18366	15577	0.594523886	0.477243958	0.844147227
A1CF	24169	8304	8403	0.081595223	5.897996479	5.358279448
A2M	1960	1485	1001	31.29467548	41.68004487	54.98821798
A2M-AS1	13983	16662	19677	1.292174412	0.684062392	0.316331204
A2ML1	25354	24218	25236	0.044348389	0.126083037	0.020989664
A2ML1-AS2	30752	31873	32037	0	0	0
A2MP1	20295	28996	29887	0.260271886	0	0
A3GALT2	27247	23139	27133	0	0.163437304	0
A4GALT	9092	13112	13499	4.737720912	1.635570148	1.441489833
A4GNT	24980	29838	20937	0.055167924	0	0.234994006
AAAS	1339	2260	1629	44.43247842	28.59403787	34.33683883
AACS	7334	5761	7014	7.103637493	10.46812127	7.312530459
AACSP1	30148	20535	23870	0	0.296840633	0.082360869
AADAC	26456	17606	16474	0	0.559001504	0.67679805
AADACL3	26011	23106	27119	0.024112952	0.164528232	0
AADACL4	24765	29804	30406	0.062085862	0	0
AADACP1	29657	27138	20265	0	0.04144972	0.276013555
AADAT	9910	7881	9491	3.893206812	6.494135937	4.207037402
AAED1	6892	10072	9337	7.852546168	3.818731065	4.352257164
AAGAB	3615	3667	4611	17.39333289	17.72071775	12.46725846
AAK1	9953	9626	10836	3.852137844	4.284911146	2.963789515
AAMDC	8195	11595	9463	5.852213355	2.495687625	4.231632808
AAMP	698	810	906	81.58459427	72.43454738	60.04100926
AANAT	20703	24355	22739	0.236281224	0.120915098	0.134195544
AAR2	3214	4849	4393	19.59740125	12.87563371	13.22462068
AARD	13809	27348	24415	1.358807338	0.036216625	0.060291598
AARS	1721	1189	914	35.01324229	51.73271897	59.46983846
AARS2	6458	5920	6599	8.654108127	10.0730607	7.987016184
AARSD1	18496	17064	19574	0.410777727	0.62285138	0.324028547
AASDH	7566	8535	8817	6.745440193	5.590822808	4.904686203
AASDHPPT	1678	4027	4854	36.04902066	15.97283692	11.84332833
AASS	4163	5951	5577	15.01731015	10.0070771	10.00170029
AATBC	25056	21822	21139	0.052580533	0.224230694	0.223972724
AATF	4110	4225	4376	15.20208463	15.14365427	13.27449562
AATK	11895	11906	10021	2.31803151	2.29728568	3.662157081
AATK-AS1	17250	19557	23712	0.558772758	0.370672891	0.088153915
AB015752.3	19215	13200	16189	0.340442894	1.597007788	0.725077492
AB019441.29	8263	10030	9499	5.764959907	3.853830731	4.203364567
ABALON	14896	18788	15083	1.025624493	0.437379535	0.946565412
ABAT	1326	5568	5685	44.79502346	10.94262138	9.749246963
ABBA01000934.1	32685	32689	32689	0	0	0
ABC11-4932300O16.1	32647	32669	32672	0	0	0
ABC13-47488600E17.1	32653	32670	32673	0	0	0
ABC7-42404400C24.1	23975	17754	14506	0.088380654	0.542737432	1.104304321
ABCA1	8796	1083	1574	5.096538167	56.56982984	35.33598971
ABCA10	26756	24861	24943	0	0.104480364	0.038651912
ABCA11P	16828	17084	17598	0.623570949	0.620487067	0.516477681
ABCA12	25036	20651	18473	0.053171004	0.290238421	0.422777413
ABCA13	22795	21437	22056	0.133174344	0.244207555	0.17018135
ABCA17P	18698	22891	18777	0.387710519	0.173213224	0.393213518
ABCA2	9466	12079	10500	4.331017588	2.186003759	3.234798271
ABCA3	12022	19136	19971	2.239670054	0.404815511	0.294838384
ABCA4	20667	11614	12305	0.23821764	2.483271269	1.973056866
ABCA5	15192	11034	10713	0.949715654	2.942127549	3.053440492
ABCA6	26755	28029	29338	0	0.014664126	0
ABCA7	10457	7500	8315	3.420456975	7.086562956	5.46846377
ABCA8	10156	24283	22690	3.676699199	0.123243833	0.13678005
ABCA9	25405	27789	29200	0.042974103	0.024435185	0
ABCA9-AS1	28847	24547	27649	0	0.11462568	0
ABCB1	25621	24186	20891	0.037192331	0.126885929	0.237637409
ABCB10	6069	4703	4991	9.489801399	13.35275117	11.45675253
ABCB10P1	17112	22493	21695	0.581642	0.190801806	0.190582295
ABCB11	21239	24828	22508	0.20547059	0.105147993	0.145870867
ABCB4	18251	20999	20468	0.435283062	0.271301435	0.261480915
ABCB5	26275	26556	28542	0	0.05551524	0
ABCB6	22132	20390	19591	0.162724206	0.305333821	0.323466335
ABCB7	2977	4823	3795	21.04107177	12.95205816	15.44735193
ABCB8	9366	8363	8883	4.448925705	5.821290058	4.845494044
ABCB9	14801	17124	16281	1.048473464	0.6153076	0.710204108
ABCC1	8348	9788	10106	5.655132004	4.099791238	3.593227189
ABCC10	9258	5949	7167	4.549555043	10.01759431	7.085984582
ABCC11	24394	21269	22791	0.074370484	0.253723485	0.131995617
ABCC12	25210	24266	24780	0.048509726	0.124122395	0.045918369
ABCC13	29783	26586	28557	0	0.054738995	0
ABCC2	22051	7379	6939	0.166256061	7.263333303	7.449072629
ABCC3	24446	10078	7631	0.072249548	3.80823445	6.401306357
ABCC4	11488	9301	11857	2.579064181	4.643797911	2.248558699
ABCC5	4998	10164	11230	12.14587807	3.724451257	2.659681805
ABCC5-AS1	27983	30701	31063	0	0	0
ABCC6	14250	9672	9794	1.208935167	4.234406371	3.890805845
ABCC6P1	16306	7084	9485	0.712988956	7.759496612	4.211385761
ABCC6P2	16551	10496	9656	0.666918901	3.412906154	4.024489943
ABCC8	26145	26212	28366	0.018873237	0.064388226	0
ABCC9	19146	11353	13355	0.346612968	2.669094289	1.490498417
