gene	type
AAAS 	HK
AAGAB 	HK
AAMP 	HK
AAR2 	HK
AARS 	HK
AARS2 	HK
AARSD1 	HK
AASDHPPT 	HK
AATF 	HK
ABCB10 	HK
ABCB7 	HK
ABCD3 	HK
ABCE1 	HK
ABCF1 	HK
ABCF2 	HK
ABCF3 	HK
ABHD10 	HK
ABHD12 	HK
ABHD13 	HK
ABHD14A 	HK
ABHD16A 	HK
ABHD4 	HK
ABHD8 	HK
ABI1 	HK
ABT1 	HK
ACAD9 	HK
ACADVL 	HK
ACAP3 	HK
ACBD3 	HK
ACBD5 	HK
ACBD6 	HK
ACIN1 	HK
ACLY 	HK
ACOT13 	HK
ACOT8 	HK
ACOT9 	HK
ACOX1 	HK
ACOX3 	HK
ACP1 	HK
ACSF3 	HK
ACSL3 	HK
ACSS2 	HK
ACTR10 	HK
ACTR1A 	HK
ACTR1B 	HK
ACTR5 	HK
ACTR8 	HK
ACVR1 	HK
ACVR1B 	HK
ADCK2 	HK
ADCK4 	HK
ADH5 	HK
ADI1 	HK
ADIPOR1 	HK
ADIPOR2 	HK
ADK 	HK
ADNP 	HK
ADO 	HK
ADPRH 	HK
ADPRHL2 	HK
ADPRM 	HK
ADSL 	HK
AES 	HK
AFF4 	HK
AFTPH 	HK
AGFG1 	HK
AGGF1 	HK
AGPAT1 	HK
AGPAT3 	HK
AGPAT6 	HK
AGPS 	HK
AHCY 	HK
AHSA1 	HK
AIMP1 	HK
AIP 	HK
AK2 	HK
AK3 	HK
AKAP8 	HK
AKAP9 	HK
AKIP1 	HK
AKIRIN1 	HK
AKIRIN2 	HK
AKR1A1 	HK
AKR7A2 	HK
AKT1 	HK
AKT1S1 	HK
AKTIP 	HK
ALAD 	HK
ALDH3A2 	HK
ALDH9A1 	HK
ALG11 	HK
ALG5 	HK
ALG8 	HK
ALG9 	HK
ALKBH1 	HK
ALKBH2 	HK
ALKBH3 	HK
ALKBH5 	HK
ALS2 	HK
ALYREF 	HK
AMBRA1 	HK
AMD1 	HK
ANAPC10 	HK
ANAPC11 	HK
ANAPC13 	HK
ANAPC15 	HK
ANAPC16 	HK
ANAPC2 	HK
ANAPC5 	HK
ANAPC7 	HK
ANKFY1 	HK
ANKH 	HK
ANKHD1 	HK
ANKHD1-EIF4EBP3 	HK
ANKRD10 	HK
ANKRD17 	HK
ANKRD28 	HK
ANKRD39 	HK
ANKRD46 	HK
ANO6 	HK
ANP32A 	HK
ANP32B 	HK
ANP32C 	HK
ANP32E 	HK
ANXA6 	HK
ANXA7 	HK
AP1B1 	HK
AP1G1 	HK
AP1M1 	HK
AP2A1 	HK
AP2A2 	HK
AP2M1 	HK
AP2S1 	HK
AP3B1 	HK
AP3D1 	HK
AP3M1 	HK
AP3S1 	HK
AP3S2 	HK
AP4B1 	HK
AP5M1 	HK
APEH 	HK
APEX1 	HK
APEX2 	HK
APH1A 	HK
API5 	HK
APIP 	HK
APOA1BP 	HK
APOL2 	HK
APOOL 	HK
APOPT1 	HK
APPL2 	HK
APTX 	HK
ARAF 	HK
ARCN1 	HK
ARF1 	HK
ARF5 	HK
ARF6 	HK
ARFGAP2 	HK
ARFGAP3 	HK
ARFGEF2 	HK
ARFIP1 	HK
ARFIP2 	HK
ARFRP1 	HK
ARHGAP35 	HK
ARHGAP5 	HK
ARHGDIA 	HK
ARHGEF10L 	HK
ARHGEF11 	HK
ARHGEF40 	HK
ARIH1 	HK
ARIH2 	HK
ARIH2OS 	HK
ARL1 	HK
ARL14EP 	HK
ARL5A 	HK
ARL6IP4 	HK
ARL8A 	HK
ARL8B 	HK
ARMC1 	HK
ARMC10 	HK
ARMC5 	HK
ARMC6 	HK
ARMC7 	HK
ARMC8 	HK
ARMCX3 	HK
ARMCX5 	HK
ARNT 	HK
ARPC1A 	HK
ARPC2 	HK
ARPC5L 	HK
ARV1 	HK
ASB1 	HK
ASB6 	HK
ASB7 	HK
ASB8 	HK
ASCC1 	HK
ASCC3 	HK
ASF1A 	HK
ASH2L 	HK
ASNA1 	HK
ASNSD1 	HK
ASPSCR1 	HK
ASUN 	HK
ASXL1 	HK
ATAD1 	HK
ATAD3A 	HK
ATE1 	HK
ATF1 	HK
ATF2 	HK
ATF4 	HK
ATF6 	HK
ATF7 	HK
ATF7IP 	HK
ATG12 	HK
ATG13 	HK
ATG16L1 	HK
ATG2A 	HK
ATG2B 	HK
ATG3 	HK
ATG4B 	HK
ATG4D 	HK
ATG5 	HK
ATG7 	HK
ATIC 	HK
ATL2 	HK
ATMIN 	HK
ATOX1 	HK
ATP2C1 	HK
ATP5A1 	HK
ATP5B 	HK
