Gene	TriageRank_WT	TriageRank_KO1	TriageRank_KO2	WT2_D14_DS	KO1_D14_DS	KO2_D14_DS
HAND1	6	2	1	1.177445214	1.713744492	1.873489659
GATA4	1	1	2	2.826291139	2.017143421	1.7855458
PITX2	107	4	3	0.175155031	1.622069059	1.454224214
LINC00261	259	3	4	0.082995055	1.642338698	1.396168678
CDX2	18544	5	5	0	1.230677222	1.183797644
MSX1	16	8	6	0.615425195	0.929811589	1.112228795
IGF2	38	9	7	0.367001479	0.849646837	0.939510084
GATA3	64	6	8	0.243261841	0.962230944	0.908911061
GDF6	51	14	9	0.292780585	0.719171388	0.789076831
MSX2	10	11	10	0.829418538	0.796794256	0.745865431
COL2A1	7	10	11	1.167764132	0.798384784	0.694734562
TBX3	11	7	12	0.749816957	0.951976532	0.677981948
RNF220	12	13	13	0.730783981	0.719431138	0.6755581
FOXA1	111	16	14	0.171284323	0.673435779	0.610480529
NR2F2	87	17	15	0.202846357	0.61431003	0.608173534
TBX20	8	35	16	1.03872488	0.417607041	0.567756419
IGF2BP1	28	20	17	0.468421049	0.602846948	0.566614784
TFAP2A	861	18	18	0.022534059	0.605963434	0.53488443
NKX2-3	309	26	19	0.073396317	0.500672371	0.528413398
HOXC8	1334	63	20	0.012153305	0.241243674	0.509337843
GNAS	19	25	21	0.514705753	0.503725337	0.509178056
GATA6	17	22	22	0.599941948	0.565595223	0.483237223
SP8	20045	23	23	0	0.561703921	0.481581694
SFRP1	26	27	24	0.471898653	0.486396306	0.467808015
SOX17	361	15	25	0.063916707	0.69456802	0.462246358
GATA5	20	21	26	0.506868028	0.594633848	0.45498105
PRSS16	42	36	27	0.347106767	0.405924798	0.454549817
HAND2	9	29	28	0.96237548	0.446398436	0.452096997
BUB3	30	30	29	0.42740618	0.445670916	0.438507439
GATA2	50	19	30	0.303051226	0.605663452	0.430460612
H19	105	41	31	0.175744172	0.376340049	0.40434084
HOXC4	18970	90	32	0	0.193762956	0.396551311
IHH	19008	28	33	0	0.470041339	0.390841708
CA4	1858	31	34	0.006958839	0.439575801	0.387621957
HNF1B	1415	24	35	0.011135035	0.511618139	0.387540929
TMEM132E	168	12	36	0.125123256	0.722082128	0.383815409
DSP	48	44	37	0.32999368	0.367064052	0.359616687
NR5A2	1139	33	38	0.015449581	0.434560498	0.354644763
MYO5B	135	39	39	0.145516125	0.403192933	0.351620666
NAV2	22	42	40	0.500612094	0.376324132	0.348603318
HOXB-AS3	1102	115	41	0.016405711	0.168196988	0.342541465
CDKN2A	204	207	42	0.107273492	0.109312362	0.336900322
DLK1	118	48	43	0.164104167	0.345896771	0.329688733
TFAP2B	20112	45	44	0	0.366610184	0.3278173
DUSP9	297	50	45	0.074905777	0.333784195	0.304302434
HPCAL4	1927	616	46	0.006516269	0.035505925	0.301225617
HOXC6	1491	124	47	0.010311546	0.162429062	0.298052598
RIPK4	236	49	48	0.092942593	0.34486501	0.29354167
WNT6	20229	51	49	0	0.333108506	0.287257453
NKAIN4	218	58	50	0.100242886	0.248397659	0.284402014
OSR2	479	40	51	0.044521905	0.394355498	0.279098242
FENDRR	18786	38	52	0	0.40341948	0.276728431
PRDM6	201	117	53	0.110862905	0.166898264	0.273532667
SYT7	92	56	54	0.197151076	0.259237423	0.271656368
ISL1	31	37	55	0.421044072	0.405675457	0.270753212
CXCL14	764	97	56	0.02570472	0.187968723	0.270441714
BMP4	158	62	57	0.130799521	0.243952525	0.270040567
TMPRSS6	2290	67	58	0.004774381	0.230667427	0.269820862
CPXM1	43	96	59	0.345840718	0.188033535	0.256422134
NKX2-6	3	46	60	2.09550993	0.348752089	0.25548457
IGF2-AS	1857	77	61	0.006969894	0.215616376	0.254582999
DLX3	279	34	62	0.078588672	0.424834772	0.24443147
PDGFRA	54	52	63	0.271191132	0.328360354	0.243752935
ARHGAP29	216	66	64	0.101411958	0.230935852	0.239336949
HOXB8	1473	211	65	0.010471028	0.107457443	0.237536565
SFRP2	1075	73	66	0.016858758	0.223447079	0.23479077
MMP9	1435	80	67	0.010867485	0.209630898	0.2253926
SEMA5B	1028	87	68	0.018044634	0.198578286	0.225190941
LIN28B	61	68	69	0.248297449	0.230589635	0.223289731
OSR1	71	57	70	0.227707363	0.250997436	0.221933692
SHTN1	229	54	71	0.096202011	0.270738797	0.21923263
EGFLAM	698	69	72	0.028919697	0.228087487	0.217690202
C5orf66	286	178	73	0.077380818	0.120557307	0.216671988
RHOXF1P1	19889	81	74	0	0.209217163	0.211316174
MEIS2	29	99	75	0.439650569	0.186123035	0.209660758
HOXC9	18971	1063	76	0	0.018114461	0.207984565
DNAJC22	1658	53	77	0.008708418	0.272253466	0.207263985
GPRIN2	500	65	78	0.042471784	0.232705744	0.205457197
HOXB3	101	145	79	0.184043642	0.145794227	0.204242717
HS6ST2	140	78	80	0.141484774	0.214059885	0.20156423
CRMP1	39	91	81	0.360503676	0.193121577	0.201508774
HOXB6	18964	177	82	0	0.121187981	0.200662378
IGF2BP3	85	84	83	0.206169943	0.206018517	0.197918034
FAM19A4	52	55	84	0.282495239	0.26755397	0.196584161
SATB2	290	59	85	0.076899573	0.247070467	0.195772086
METAP1D	66	94	86	0.238639467	0.191496674	0.192887866
MIR3131	19499	132	87	0	0.155258013	0.188000155
ALX4	405	105	88	0.055454551	0.182670735	0.186482842
ITPKA	323	72	89	0.070456434	0.224129129	0.183933798
NTNG2	130	111	90	0.147853562	0.176613703	0.183859731
SMUG1	117	95	91	0.166662927	0.189010159	0.183759667
MEIS1	53	93	92	0.275864039	0.191633941	0.182757149
KRT19	144	88	93	0.140182366	0.195452004	0.182529705
SCUBE3	77	92	94	0.220119523	0.192479156	0.18227913
COL4A2	146	102	95	0.138944881	0.185178107	0.179622089
SPR	137	98	96	0.143480964	0.186187485	0.179189184
MACROD1	72	119	97	0.22762036	0.166131653	0.17910125
HLX	417	240	98	0.052632463	0.09872096	0.177332672
HSPA12A	194	71	99	0.114327944	0.224938593	0.176867575
SLC9A3	190	114	100	0.115378377	0.173473433	0.176353131
ROBO3	81	197	101	0.211540047	0.113351338	0.176076913
MDFI	142	110	102	0.141096324	0.178491406	0.175904875
MEIS3	97	116	103	0.186072542	0.168031132	0.174559415
