gene	RTS
PAX2	1
TLX1NB	0.794367624
LMX1B	0.764968623
HOXB13	0.745876019
PAX7	0.718091008
GATA4	0.711798879
MIR9-3HG	0.696098443
EN2	0.691513644
ZIC4	0.66236091
LBX1	0.659169255
CNPY1	0.590532925
PAX5	0.575972058
ALX4	0.57176006
MIR3185	0.565133329
SIM2	0.550009348
HOXC10	0.544293195
SIX3	0.538779819
NKX2-6	0.534527286
CDH22	0.530635096
EN1	0.526543757
PRAC2	0.517808191
BARHL2	0.502700227
ONECUT3	0.50107866
DLX6	0.49898968
LHX2	0.493754511
FENDRR	0.49343121
SFTA3	0.492728267
HOTAIR	0.489057492
PDX1	0.486889515
PRAC1	0.486762626
ONECUT1	0.484941114
HMX1	0.483276563
HOXD8	0.472088575
LINC01749	0.467572037
TBX5	0.457862369
UNCX	0.455327284
CDX2	0.455136239
EMX2OS	0.446079524
HOXC4	0.444678548
RBFOX3	0.441276055
PRDM13	0.440693506
LINC00461	0.438716984
LINC01097	0.438034041
TBX15	0.434919473
GSX1	0.434324935
DLX4	0.432880342
NEUROG1	0.432690774
NR2E1	0.432442853
TMEM132E	0.432338591
NKX2-2	0.428519321
C1orf61	0.425900569
PAX6	0.423001074
NKX2-5	0.416095539
MSX1	0.41477916
C5orf66	0.41353202
GATA3	0.411389192
LHX5	0.407915077
MIR3663HG	0.405308735
MNX1	0.397328098
SIM1	0.396348495
HOXC11	0.392014348
SLC32A1	0.391864198
PITX2	0.389917244
LOC102723471	0.384846975
TTLL6	0.384366296
DLX1	0.383439605
EMX1	0.382387718
RSPO1	0.381946879
SRCIN1	0.380863662
LINC01389	0.380551359
OTP	0.379366862
TLX3	0.375336257
HMX3	0.375050531
OLIG2	0.3732209
PAX9	0.372550908
HAND1	0.368970475
HOXC-AS3	0.368467065
EBF2	0.367266646
OTX2	0.361621874
VAX2	0.360751274
TFAP2A	0.360237636
OLIG3	0.358655062
HOXC13	0.353244444
TFAP2B	0.353126735
SCRG1	0.350580099
VAX1	0.348359672
NEUROD2	0.348077509
HOXC12	0.347417687
GATA2	0.345651991
LINC01475	0.345063046
CRHR1-IT1-CRHR1	0.340738483
CRTAC1	0.339971185
DLX3	0.336925217
TBX3	0.332151404
BARX1	0.331854721
DLX2	0.327958902
NKX6-1	0.327725371
PAX3	0.326095358
ULBP1	0.325215047
RAX	0.323908885
SKOR2	0.321095771
RNF219-AS1	0.32089301
IRX4	0.317524505
GDF6	0.315506433
ROBO3	0.315478244
LINC00261	0.313662442
LINC00403	0.313648333
CCDC140	0.310481746
LINC00682	0.310393058
SIX2	0.309837751
