Gene	Rank	WT2_D14_2
RN7SL2	1	86379.51726
SNORA73B	2	14413.35765
MT-CO3	3	14396.59433
MTRNR2L1	4	13779.59944
MT-CO1	5	8858.577511
RNU4-2	6	7988.271229
MYL7	7	7153.13679
RNU4-1	8	4400.307089
MT-CO2	9	3361.381111
MYL4	10	3308.028232
SNORD17	11	3252.607281
EEF1A1	12	2851.283082
GAPDH	13	2443.934144
RPLP0	14	2442.34367
RPL13A	15	2394.885004
ENO1	16	2212.462561
MIR3609	17	2172.973735
RNY1	18	2098.784849
RPS18	19	2030.273756
RPS27	20	1980.668633
RN7SKP203	21	1901.232657
TNNT2	22	1834.530212
RPS8	23	1805.97139
RPL9	24	1747.382572
RN7SKP71	25	1722.74146
RPL12	26	1688.821633
TNNC1	27	1682.786867
RPL19	28	1562.739801
SNORA53	29	1536.5993
RPL10A	30	1490.665895
SCARNA7	31	1474.022533
RN7SKP80	32	1443.684311
HIST1H3B	33	1412.14384
RPL23	34	1411.312551
RPS12	35	1405.155441
RN7SL5P	36	1390.81508
RPS11	37	1376.619053
HIST1H4D	38	1349.521654
RPS2	39	1321.644755
RPL29	40	1313.925757
RN7SKP255	41	1301.117093
SCARNA5	42	1261.950007
SNORA74A	43	1240.748449
RPL5	44	1237.027197
EEF2	45	1230.251701
RPL35	46	1208.018358
RNU5A-1	47	1192.494489
HIST1H1C	48	1166.63858
TPI1	49	1166.512613
TPM1	50	1164.579798
RPL11	51	1153.976889
RPL7A	52	1140.265512
RPS7	53	1129.923894
RPL27	54	1123.217532
RPL24	55	1114.244946
RPL18A	56	1093.584981
MT-ND3	57	1087.606994
RPSA	58	1086.731887
MYL3	59	1076.774522
RPL3	60	1044.221757
ATP5B	61	1034.139603
RPS25	62	1030.919704
SNORD15B	63	1019.092326
MT-ATP6	64	971.6395408
RPL38	65	952.7018689
RPL8	66	952.2245458
MYL6	67	942.0887975
ALDOA	68	918.1968458
HIST1H1E	69	909.6966443
RNU5B-1	70	898.1875279
SNORD94	71	887.8725653
HIST1H1B	72	880.413862
RPS15	73	863.2014698
RPS27A	74	859.7803998
TMSB10	75	839.0546598
RPLP1	76	831.3118942
ACTC1	77	808.3697348
RPL4	78	787.1423423
RPS5	79	785.9550447
SNORD116-19	80	774.9359442
RPL21	81	772.5863807
HIST1H4C	82	770.6313208
SNORA23	83	755.5067333
MYH6	84	752.6635181
RPS4X	85	747.9202903
RN7SL4P	86	744.7969944
RPS6	87	740.0373103
HIST2H2AC	88	718.8644254
RPS3A	89	716.8627002
HIST1H3F	90	699.886654
H3F3A	91	687.5490795
RPS21	92	674.1011044
RPLP2	93	672.279976
MT-CYB	94	664.7053443
HIST1H4B	95	660.8849635
RACK1	96	656.5160835
RPL7	97	655.4009392
LDHA	98	651.1370971
RPS14	99	639.5838076
MT-ND4	100	633.9543636
RPS13	101	632.5867754
HIST1H2AE	102	628.0377258
HIST1H2BK	103	627.5728795
SEPW1	104	616.3929186
RPS17	105	609.543194
SNORD116-18	106	601.2988447
RPL41	107	594.330384
RPS16	108	586.8173937
MT-ND1	109	579.8082934
HSPB1	110	578.2939996
FTL	111	571.048355
LDHB	112	562.5096771
COX7B	113	549.2138023
ATP1B1	114	548.5895251
RN7SKP9	115	543.6536008
HSP90AB1	116	540.1357094
RPS20	117	538.7365329
SNORD3A	118	536.4528908
LBH	119	536.0437833
COX7C	120	533.2016612
RPL6	121	530.0711669
RPL10	122	527.3088075
TNNI1	123	514.4004542
RPL34	124	510.1518101
PRDX1	125	494.4605561
RPL32	126	494.1731291
PRDX2	127	487.6844462
SNORA54	128	480.4891019
MDK	129	470.4251305
HIST1H3I	130	452.2381133
RN7SKP48	131	448.6100349
HIST1H2AH	132	447.7600201
PLN	133	446.7960454
FAM162A	134	443.6394862
DOK4	135	439.2513079
MALAT1	136	435.0344658
SCARNA6	137	434.4825066
RPL18	138	434.297694
RPS19	139	434.2448072
FAU	140	423.6251829
RPL13	141	419.6561573
HIST1H2BC	142	417.4638243
