gene	Family	type
ZBTB8B	ZBTB	TF
GSX2	Homeobox	TF
TBX2	T-box	TF
PAX8	PAX	TF
CREB3L1	TF_bZIP	TF
NKX6-1	Homeobox	TF
ZNF621	zf-C2H2	TF
ZNF138	zf-C2H2	TF
ZNF654	zf-C2H2	TF
POU3F3	Pou	TF
ALX1	Homeobox	TF
EMX1	Homeobox	TF
ZNF718	zf-C2H2	TF
VSX2	Homeobox	TF
POU1F1	Pou	TF
RARA	THR-like	TF
TLX3	Homeobox	TF
ZIC2	zf-C2H2	TF
ZNF226	zf-C2H2	TF
ZNF808	zf-C2H2	TF
AC067968.1	zf-C2H2	TF
NR3C1	ESR-like	TF
HIC2	ZBTB	TF
ZNF442	zf-C2H2	TF
FOSL1	TF_bZIP	TF
MTF1	zf-C2H2	TF
YBX3	CSD	TF
ZNF705A	zf-C2H2	TF
NFE2	TF_bZIP	TF
RAX2	Homeobox	TF
SP1	zf-C2H2	TF
ARID3A	ARID	TF
FEZF1	zf-C2H2	TF
THAP4	THAP	TF
ZNF286A	zf-C2H2	TF
FOXQ1	Fork_head	TF
AIRE	SAND	TF
SNAI3	zf-C2H2	TF
ZNF224	zf-C2H2	TF
ATOH8	bHLH	TF
MECOM	zf-C2H2	TF
ZNF45	zf-C2H2	TF
ZNF674	zf-C2H2	TF
ZXDA	zf-C2H2	TF
ST18	zf-C2HC	TF
NKX6-2	Homeobox	TF
ZNF689	zf-C2H2	TF
ZNF449	zf-C2H2	TF
ZNF2	zf-C2H2	TF
TFDP2	E2F	TF
ZBTB25	ZBTB	TF
PIAS4	zf-MIZ	TF
HES4	bHLH	TF
ZNF592	zf-C2H2	TF
WT1	zf-C2H2	TF
ZBTB49	ZBTB	TF
PAX5	PAX	TF
MAFG	TF_bZIP	TF
ZNF837	zf-C2H2	TF
FOXD4	Fork_head	TF
GATA3	zf-GATA	TF
HOMEZ	Homeobox	TF
ZNF26	zf-C2H2	TF
ZSCAN20	zf-C2H2	TF
MEOX2	Homeobox	TF
DMRTA1	DM	TF
ZNF567	zf-C2H2	TF
OVOL1	zf-C2H2	TF
PRRX2	Homeobox	TF
MAFB	TF_bZIP	TF
ZNF195	zf-C2H2	TF
ZNF75D	zf-C2H2	TF
PIAS2	zf-MIZ	TF
FOXJ1	Fork_head	TF
GRHL1	CP2	TF
KLF11	zf-C2H2	TF
ATF2	TF_bZIP	TF
NFAT5	RHD	TF
MXD1	bHLH	TF
SMAD3	MH1	TF
DMRT2	DM	TF
BARHL1	Homeobox	TF
IKZF4	zf-C2H2	TF
ZNF607	zf-C2H2	TF
E2F7	E2F	TF
ZNF595	zf-C2H2	TF
ETV5	ETS	TF
CSRNP3	CSRNP_N	TF
CEBPD	TF_bZIP	TF
ZNF669	zf-C2H2	TF
TBX22	T-box	TF
ZNF304	zf-C2H2	TF
FOXN4	Fork_head	TF
TBX6	T-box	TF
ZBED2	zf-BED	TF
HES5	bHLH	TF
ZNF283	zf-C2H2	TF
PLAG1	zf-C2H2	TF
ZNF512B	zf-C2H2	TF
ZNF486	zf-C2H2	TF
ZMIZ2	zf-MIZ	TF
TERF2	MYB	TF
TFAM	HMG	TF
LCORL	HTH	TF
THAP5	THAP	TF
TCF15	bHLH	TF
ZNF75A	zf-C2H2	TF
HMGB2	HMG	TF
EGR3	zf-C2H2	TF
ZFP69B	zf-C2H2	TF
USF1	bHLH	TF
TBR1	T-box	TF
SMAD2	MH1	TF
ZNF165	zf-C2H2	TF
HOXA11	Homeobox	TF
LMX1A	Homeobox	TF
LHX6	Homeobox	TF
ZNF155	zf-C2H2	TF
ZNF16	zf-C2H2	TF
ZNF225	zf-C2H2	TF
ZSCAN10	zf-C2H2	TF
HNF1B	Homeobox	TF
AC008758.1	zf-C2H2	TF
HOXA13	Homeobox	TF
MKX	Homeobox	TF
TBX1	T-box	TF
ZNF70	zf-C2H2	TF
ZNF282	zf-C2H2	TF
PRDM13	zf-C2H2	TF
ZNF786	zf-C2H2	TF
ZNF547	zf-C2H2	TF
EOMES	T-box	TF
HOXB1	Homeobox	TF
ZKSCAN3	zf-C2H2	TF
ZNF648	zf-C2H2	TF
MECP2	MBD	TF
WIZ	zf-C2H2	TF
ZNF317	zf-C2H2	TF
ZGLP1	zf-GATA	TF
BACH2	TF_bZIP	TF
IRX4	Homeobox	TF
IRF4	IRF	TF
HOXA9	Homeobox	TF
SMAD7	MH1	TF
ZNF613	zf-C2H2	TF
SOX30	HMG	TF
TSC22D4	TSC22	TF
MEOX1	Homeobox	TF
ZNF438	zf-C2H2	TF
TCF4	bHLH	TF
ZBTB18	ZBTB	TF
RBPJL	CSL	TF
LYL1	bHLH	TF
BHLHE22	bHLH	TF
AC010422.6	zf-C2H2	TF
IRF3	IRF	TF
ZNF260	zf-C2H2	TF
PROX2	HPD	TF
TP63	P53	TF
HOXA6	Homeobox	TF
DMRTB1	DM	TF
CCDC169-SOHLH2	bHLH	TF
YY2	zf-C2H2	TF
ZNF143	zf-C2H2	TF
PBRM1	HMG	TF
ZNF841	zf-C2H2	TF
ADNP	Homeobox	TF
SPIB	ETS	TF
BCL11B	zf-C2H2	TF
ZNF513	zf-C2H2	TF
NEUROD6	bHLH	TF
SRF	SRF	TF
TBXT	T-box	TF
HOXD9	Homeobox	TF
ZBTB47	ZBTB	TF
ZNF22	zf-C2H2	TF
NFXL1	zf-NF-X1	TF
ZNF543	zf-C2H2	TF
ZNF540	zf-C2H2	TF
SOX14	HMG	TF
TFAP4	bHLH	TF
ASCL2	bHLH	TF
HEY1	bHLH	TF
EBF3	COE	TF
XBP1	TF_bZIP	TF
ZNF562	zf-C2H2	TF
PROP1	Homeobox	TF
CDX4	Homeobox	TF
SOX10	HMG	TF
BORCS8-MEF2B	SRF	TF
ZNF211	zf-C2H2	TF
ZNF266	zf-C2H2	TF
ZNF580	zf-C2H2	TF
OVOL3	zf-C2H2	TF
ZNF391	zf-C2H2	TF
ATOH1	bHLH	TF
ATF5	TF_bZIP	TF
MYB	MYB	TF
ALX3	Homeobox	TF
SP2	zf-C2H2	TF
THAP2	THAP	TF
GATA2	zf-GATA	TF
CDX2	Homeobox	TF
OLIG2	bHLH	TF
SIM1	bHLH	TF
ZNF445	zf-C2H2	TF
YBX2	CSD	TF
ZBTB10	ZBTB	TF
ZIK1	zf-C2H2	TF
ZNF611	zf-C2H2	TF
DLX2	Homeobox	TF
RREB1	zf-C2H2	TF
GATA1	zf-GATA	TF
BHLHA15	bHLH	TF
SOX21	HMG	TF
MAFA	TF_bZIP	TF
PITX1	Homeobox	TF
ZNF286B	zf-C2H2	TF
TGIF2LX	Homeobox	TF
SATB1	CUT	TF
SIM2	bHLH	TF
EN1	Homeobox	TF
ZNF845	zf-C2H2	TF
DRGX	Homeobox	TF
MAX	bHLH	TF
ZNF696	zf-C2H2	TF
ZNF521	zf-C2H2	TF
ZFP62	zf-C2H2	TF
GLI3	zf-C2H2	TF
ZBTB8A	ZBTB	TF
ZNF791	zf-C2H2	TF
ZFP42	zf-C2H2	TF
TGIF1	Homeobox	TF
ZNF557	zf-C2H2	TF
MEIS3	Homeobox	TF
ZNF565	zf-C2H2	TF
AC002310.5	zf-C2H2	TF
DLX1	Homeobox	TF
OLIG1	bHLH	TF
GCFC2	GCFC	TF
ZNF124	zf-C2H2	TF
ZBTB5	ZBTB	TF
ZNF554	zf-C2H2	TF
ZBTB38	ZBTB	TF
ZNF600	zf-C2H2	TF
